service_id,date,exception_type
"537_100950","20190927","1"
"537_100950","20190928","1"
"537_100952","20190928","1"
"537_100962","20190928","1"
"537_100983","20190928","1"
"537_100984","20190928","1"
"537_100985","20190928","1"
"537_100988","20190928","1"
"537_100989","20190928","1"
"537_101004","20190929","1"
"537_101005","20190929","1"
"537_101007","20190929","1"
"537_101008","20190929","1"
"537_101009","20190929","1"
"537_101010","20190929","1"
"537_101011","20190929","1"
"537_101013","20190929","1"
"537_101015","20190927","1"
"537_101015","20190928","1"
"537_101015","20190929","1"
"537_101016","20190927","1"
"537_101016","20190928","1"
"537_101016","20190929","1"
"537_101017","20190927","1"
"537_101017","20190928","1"
"537_101025","20190927","1"
"537_101025","20190928","1"
"537_101027","20190927","1"
"537_101027","20190928","1"
"537_101029","20190927","1"
"537_101030","20190927","1"
"537_101031","20190927","1"
"537_101036","20190928","1"
"537_101037","20190927","1"
"537_101038","20190928","1"
"537_101039","20190928","1"
"537_101040","20190928","1"
"537_101041","20190927","1"
"537_101041","20190928","1"
"537_101042","20190927","1"
"537_101042","20190928","1"
"537_101044","20190927","1"
"537_101044","20190928","1"
"537_101045","20190927","1"
"537_101045","20190928","1"
"537_101046","20190927","1"
"537_101047","20190927","1"
"537_101051","20190927","1"
"537_101051","20190928","1"
"537_101054","20190928","1"
"537_101055","20190927","1"
"537_101055","20190928","1"
"537_101056","20190927","1"
"537_101057","20190927","1"
"537_101065","20190927","1"
"537_101069","20190927","1"
"537_101070","20190927","1"
"537_101071","20190927","1"
"537_101073","20190927","1"
"537_101074","20190927","1"
"537_101074","20190928","1"
"537_101075","20190927","1"
"537_101075","20190928","1"
"537_101076","20190927","1"
"537_101077","20190927","1"
"537_101078","20190927","1"
"537_101079","20190927","1"
"537_101080","20190927","1"
"537_101081","20190927","1"
"537_101082","20190927","1"
"537_101083","20190927","1"
"537_101084","20190927","1"
"537_101085","20190928","1"
"537_101086","20190928","1"
"537_101087","20190927","1"
"537_101087","20190928","1"
"537_101091","20190928","1"
"537_101092","20190928","1"
"537_101093","20190928","1"
"537_101094","20190928","1"
"537_101096","20190928","1"
"537_101097","20190928","1"
"537_101098","20190927","1"
"537_101098","20190928","1"
"537_101099","20190927","1"
"537_101099","20190928","1"
"537_101100","20190927","1"
"537_101100","20190928","1"
"537_101104","20190927","1"
"537_101104","20190928","1"
"537_101105","20190927","1"
"537_101105","20190928","1"
"537_101106","20190927","1"
"537_101106","20190928","1"
"537_101107","20190927","1"
"537_101107","20190928","1"
"537_101108","20190927","1"
"537_101108","20190928","1"
"537_101109","20190927","1"
"537_101109","20190928","1"
"537_101110","20190927","1"
"537_101110","20190928","1"
"537_101111","20190927","1"
"537_101111","20190928","1"
"537_101112","20190927","1"
"537_101112","20190928","1"
"537_101113","20190927","1"
"537_101113","20190928","1"
"537_101114","20190927","1"
"537_101114","20190928","1"
"537_101123","20190927","1"
"537_101125","20190927","1"
"537_101127","20190927","1"
"537_101127","20190928","1"
"537_101129","20190928","1"
"537_101130","20190927","1"
"537_101131","20190927","1"
"537_101131","20190928","1"
"537_101132","20190927","1"
"537_101133","20190927","1"
"537_101134","20190927","1"
"537_101135","20190927","1"
"537_101136","20190927","1"
"537_101153","20190927","1"
"537_101153","20190928","1"
"537_101154","20190927","1"
"537_101154","20190928","1"
"537_101155","20190927","1"
"537_101155","20190928","1"
"537_101156","20190927","1"
"537_101156","20190928","1"
"537_101157","20190927","1"
"537_101157","20190928","1"
"537_101158","20190927","1"
"537_101158","20190928","1"
"537_101159","20190927","1"
"537_101159","20190928","1"
"538_100947","20200515","1"
"538_100947","20200516","1"
"538_100947","20200518","1"
"538_100947","20200519","1"
"538_100947","20200520","1"
"538_100947","20200521","1"
"538_100947","20200522","1"
"538_100947","20200523","1"
"538_100947","20200525","1"
"538_100947","20200526","1"
"538_100947","20200527","1"
"538_100947","20200528","1"
"538_100947","20200529","1"
"538_100947","20200530","1"
"538_100947","20200601","1"
"538_100947","20200603","1"
"538_100947","20200604","1"
"538_100947","20200605","1"
"538_100947","20200606","1"
"538_100950","20190930","1"
"538_100950","20191001","1"
"538_100950","20191002","1"
"538_100950","20191003","1"
"538_100950","20191004","1"
"538_100950","20191005","1"
"538_100950","20191007","1"
"538_100950","20191008","1"
"538_100950","20191009","1"
"538_100950","20191010","1"
"538_100950","20191011","1"
"538_100950","20191012","1"
"538_100950","20191014","1"
"538_100950","20191015","1"
"538_100950","20191016","1"
"538_100950","20191017","1"
"538_100950","20191018","1"
"538_100950","20191019","1"
"538_100950","20191021","1"
"538_100950","20191022","1"
"538_100950","20191023","1"
"538_100950","20191024","1"
"538_100950","20191025","1"
"538_100950","20191026","1"
"538_100950","20191028","1"
"538_100950","20191029","1"
"538_100950","20191030","1"
"538_100950","20191031","1"
"538_100950","20191102","1"
"538_100950","20191104","1"
"538_100950","20191105","1"
"538_100950","20191106","1"
"538_100950","20191107","1"
