route_id,service_id,trip_id,trip_short_name,direction_id,shape_id
"1-2CO","537_101127","537_760126","F_A760126","0","1822216833"
"1-2CO","537_101025","537_760127","F_A760127","0","1822216833"
"1-2CO","537_100950","537_760129","F_A760129","0","1822216833"
"1-2CO","537_101005","537_760130","8630_AC01A","0","1822216833"
"1-2CO","537_100950","537_760131","8630_AC30A","0","1822216833"
"1-2CO","537_101025","537_760132","F_A760132","0","1822216833"
"1-2CO","537_101127","537_760133","F_A760133","0","1822216833"
"1-2CO","537_100950","537_760135","F_A760135","0","1822216833"
"1-2CO","537_101004","537_760136","8630_AC02A","0","1822216833"
"1-2CO","537_100950","537_760139","8630_AC10A","0","1822216833"
"1-2CO","537_101127","537_760140","F_A760140","0","1822216833"
"1-2CO","537_101127","537_760145","F_A760145","0","257419675"
"1-2CO","537_101127","537_760147","F_A760147","0","257419675"
"1-2CO","537_101005","537_760148","8630_AC01B","0","257419675"
"1-2CO","537_101127","537_760149","8630_AC30B","0","257419675"
"1-2CO","537_101025","537_760150","F_A760150","0","257419675"
"1-2CO","537_101127","537_760151","F_A760151","0","257419675"
"1-2CO","537_101127","537_760152","F_A760152","0","257419675"
"1-2CO","537_101004","537_760154","8630_AC02B","0","257419675"
"1-2CO","537_101127","537_760156","8630_AC10B","0","257419675"
"1-2CO","537_101127","537_760157","F_A760157","0","257419675"
"1-2CO","537_101127","537_760158","F_R760158","1","2255236362"
"1-2CO","537_101025","537_760159","F_R760159","1","2255236362"
"1-2CO","537_101127","537_760160","F_R760160","1","2255236362"
"1-2CO","537_101005","537_760161","8629_RC01A","1","2255236362"
"1-2CO","537_101127","537_760162","8629_RC40A","1","2255236362"
"1-2CO","537_101127","537_760163","F_R760163","1","2255236362"
"1-2CO","537_101004","537_760164","8629_RC02A","1","2255236362"
"1-2CO","537_101025","537_760165","F_R760165","1","2255236362"
"1-2CO","537_101127","537_760167","F_R760167","1","2255236362"
"1-2CO","537_101004","537_760169","8629_RC04A","1","2255236362"
