service_id,date,exception_type
"377_100349","20191123","1"
"377_100357","20191123","1"
"377_100371","20191124","1"
"377_100373","20191123","1"
"377_100378","20191123","1"
"377_100380","20191123","1"
"377_100381","20191123","1"
"378_100256","20191224","1"
"378_100256","20191227","1"
"378_100256","20191230","1"
"378_100256","20191231","1"
"378_100256","20200102","1"
"378_100256","20200103","1"
"378_100256","20200409","1"
"378_100256","20200410","1"
"378_100256","20200414","1"
"378_100292","20191126","1"
"378_100292","20191129","1"
"378_100292","20191203","1"
"378_100292","20191206","1"
"378_100292","20191210","1"
"378_100292","20191213","1"
"378_100292","20191217","1"
"378_100292","20191220","1"
"378_100292","20191224","1"
"378_100292","20191227","1"
"378_100292","20191231","1"
"378_100292","20200103","1"
"378_100292","20200107","1"
"378_100292","20200110","1"
"378_100292","20200114","1"
"378_100292","20200117","1"
"378_100292","20200121","1"
"378_100292","20200124","1"
"378_100292","20200128","1"
"378_100292","20200131","1"
"378_100292","20200204","1"
"378_100292","20200207","1"
"378_100292","20200211","1"
"378_100292","20200214","1"
"378_100292","20200218","1"
"378_100292","20200221","1"
"378_100292","20200225","1"
"378_100292","20200228","1"
"378_100292","20200303","1"
"378_100292","20200306","1"
"378_100292","20200310","1"
"378_100292","20200313","1"
"378_100292","20200317","1"
"378_100292","20200320","1"
"378_100292","20200324","1"
"378_100292","20200327","1"
"378_100292","20200331","1"
"378_100292","20200403","1"
"378_100292","20200407","1"
"378_100292","20200410","1"
"378_100292","20200414","1"
"378_100292","20200417","1"
"378_100292","20200421","1"
"378_100292","20200424","1"
"378_100292","20200428","1"
"378_100292","20200505","1"
"378_100292","20200508","1"
"378_100292","20200512","1"
"378_100292","20200515","1"
"378_100292","20200519","1"
"378_100292","20200522","1"
"378_100292","20200526","1"
"378_100292","20200529","1"
"378_100292","20200605","1"
"378_100293","20191127","1"
"378_100293","20191204","1"
"378_100293","20191211","1"
"378_100293","20191218","1"
"378_100293","20200108","1"
"378_100293","20200115","1"
"378_100293","20200122","1"
"378_100293","20200129","1"
"378_100293","20200205","1"
"378_100293","20200212","1"
"378_100293","20200219","1"
"378_100293","20200226","1"
"378_100293","20200304","1"
"378_100293","20200311","1"
"378_100293","20200318","1"
"378_100293","20200325","1"
"378_100293","20200401","1"
"378_100293","20200408","1"
"378_100293","20200415","1"
"378_100293","20200422","1"
"378_100293","20200429","1"
"378_100293","20200506","1"
"378_100293","20200513","1"
"378_100293","20200520","1"
"378_100293","20200527","1"
"378_100293","20200603","1"
"378_100294","20191127","1"
"378_100294","20191204","1"
"378_100294","20191211","1"
"378_100294","20191218","1"
"378_100294","20200108","1"
"378_100294","20200115","1"
"378_100294","20200122","1"
"378_100294","20200129","1"
"378_100294","20200205","1"
"378_100294","20200212","1"
"378_100294","20200219","1"
"378_100294","20200226","1"
"378_100294","20200304","1"
"378_100294","20200311","1"
"378_100294","20200318","1"
"378_100294","20200325","1"
"378_100294","20200401","1"
"378_100294","20200408","1"
"378_100294","20200415","1"
"378_100294","20200422","1"
"378_100294","20200429","1"
"378_100294","20200506","1"
"378_100294","20200513","1"
"378_100294","20200520","1"
"378_100294","20200527","1"
"378_100294","20200603","1"
"378_100295","20191126","1"
"378_100295","20191129","1"
"378_100295","20191203","1"
"378_100295","20191206","1"
"378_100295","20191210","1"
"378_100295","20191213","1"
"378_100295","20191217","1"
"378_100295","20191220","1"
"378_100295","20200107","1"
"378_100295","20200110","1"
"378_100295","20200114","1"
"378_100295","20200117","1"
"378_100295","20200121","1"
"378_100295","20200124","1"
"378_100295","20200128","1"
"378_100295","20200131","1"
"378_100295","20200204","1"
"378_100295","20200207","1"
"378_100295","20200211","1"
"378_100295","20200214","1"
"378_100295","20200218","1"
"378_100295","20200221","1"
"378_100295","20200225","1"
"378_100295","20200228","1"
"378_100295","20200303","1"
"378_100295","20200306","1"
"378_100295","20200310","1"
"378_100295","20200313","1"
"378_100295","20200317","1"
"378_100295","20200320","1"
"378_100295","20200324","1"
"378_100295","20200327","1"
"378_100295","20200331","1"
"378_100295","20200403","1"
"378_100295","20200407","1"
"378_100295","20200417","1"
"378_100295","20200421","1"
"378_100295","20200424","1"
"378_100295","20200428","1"
"378_100295","20200505","1"
"378_100295","20200508","1"
"378_100295","20200512","1"
"378_100295","20200515","1"
"378_100295","20200519","1"
"378_100295","20200522","1"
"378_100295","20200526","1"
"378_100295","20200529","1"
"378_100295","20200605","1"
"378_100298","20191126","1"
"378_100298","20191128","1"
"378_100298","20191203","1"
"378_100298","20191205","1"
"378_100298","20191210","1"
"378_100298","20191212","1"
"378_100298","20191217","1"
"378_100298","20191219","1"
"378_100298","20200107","1"
"378_100298","20200109","1"
"378_100298","20200114","1"
"378_100298","20200116","1"
"378_100298","20200121","1"
"378_100298","20200123","1"
"378_100298","20200128","1"
"378_100298","20200130","1"
"378_100298","20200204","1"
"378_100298","20200206","1"
"378_100298","20200211","1"
"378_100298","20200213","1"
"378_100298","20200218","1"
"378_100298","20200220","1"
"378_100298","20200225","1"
"378_100298","20200227","1"
"378_100298","20200303","1"
"378_100298","20200305","1"
"378_100298","20200310","1"
"378_100298","20200312","1"
"378_100298","20200317","1"
"378_100298","20200319","1"
"378_100298","20200324","1"
"378_100298","20200326","1"
"378_100298","20200331","1"
"378_100298","20200402","1"
"378_100298","20200407","1"
"378_100298","20200416","1"
"378_100298","20200421","1"
"378_100298","20200423","1"
"378_100298","20200428","1"
"378_100298","20200430","1"
"378_100298","20200505","1"
"378_100298","20200507","1"
"378_100298","20200512","1"
"378_100298","20200514","1"
"378_100298","20200519","1"
"378_100298","20200521","1"
"378_100298","20200526","1"
"378_100298","20200528","1"
"378_100298","20200604","1"
"378_100299","20191125","1"
"378_100299","20191126","1"
"378_100299","20191128","1"
"378_100299","20191202","1"
"378_100299","20191203","1"
"378_100299","20191205","1"
