route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1","Start Romagna S.p.A.","1","Linea 1","3","FFFFFF","000000"
"140","Start Romagna S.p.A.","140","Linea 140","3","FFFFFF","000000"
"141","Start Romagna S.p.A.","141","Linea 141","3","FFFFFF","000000"
"145","Start Romagna S.p.A.","145","Linea 145","3","FFFFFF","000000"
"147","Start Romagna S.p.A.","147","Linea 147","3","FFFFFF","000000"
"149","Start Romagna S.p.A.","149","Linea 149","3","FFFFFF","000000"
"150","Start Romagna S.p.A.","150","Linea 150","3","FFFFFF","000000"
"151","Start Romagna S.p.A.","151","Linea 151","3","FFFFFF","000000"
"154","Start Romagna S.p.A.","154","Linea 154","3","FFFFFF","000000"
"155","Start Romagna S.p.A.","155","Linea 155","3","FFFFFF","000000"
"156","Start Romagna S.p.A.","156","Linea 156","3","FFFFFF","000000"
"157","Start Romagna S.p.A.","157","Linea 157","3","FFFFFF","000000"
"158","Start Romagna S.p.A.","158","Linea 158","3","FFFFFF","000000"
"159","Start Romagna S.p.A.","159","Linea 159","3","FFFFFF","000000"
"161","Start Romagna S.p.A.","161","Linea 161","3","FFFFFF","000000"
"162","Start Romagna S.p.A.","162","Linea 162","3","FFFFFF","000000"
"163","Start Romagna S.p.A.","163","Linea 163","3","FFFFFF","000000"
"166","Start Romagna S.p.A.","166","Linea 166","3","FFFFFF","000000"
"167","Start Romagna S.p.A.","167","Linea 167","3","FFFFFF","000000"
"176","Start Romagna S.p.A.","176","Linea 176","3","FFFFFF","000000"
"177","Start Romagna S.p.A.","177","Linea 177","3","FFFFFF","000000"
"178","Start Romagna S.p.A.","178","Linea 178","3","FFFFFF","000000"
"179","Start Romagna S.p.A.","179","Linea 179","3","FFFFFF","000000"
"18","Start Romagna S.p.A.","18","Linea 18","3","FFFFFF","000000"
"180","Start Romagna S.p.A.","180","Linea 180","3","FFFFFF","000000"
"181","Start Romagna S.p.A.","181","Linea 181","3","FFFFFF","000000"
"182","Start Romagna S.p.A.","182","Linea 182","3","FFFFFF","000000"
"183","Start Romagna S.p.A.","183","Linea 183","3","FFFFFF","000000"
"184","Start Romagna S.p.A.","184","Linea 184","3","FFFFFF","000000"
"185","Start Romagna S.p.A.","185","Linea 185","3","FFFFFF","000000"
"187","Start Romagna S.p.A.","187","Linea 187","3","FFFFFF","000000"
"188","Start Romagna S.p.A.","188","Linea 188","3","FFFFFF","000000"
"189","Start Romagna S.p.A.","189","Linea 189","3","FFFFFF","000000"
"190","Start Romagna S.p.A.","190","Linea 190","3","FFFFFF","000000"
"191","Start Romagna S.p.A.","191","Linea 191","3","FFFFFF","000000"
"193","Start Romagna S.p.A.","193","Linea 193","3","FFFFFF","000000"
"194","Start Romagna S.p.A.","194","Linea 194","3","FFFFFF","000000"
"195","Start Romagna S.p.A.","195","Linea 195","3","FFFFFF","000000"
"196","Start Romagna S.p.A.","196","Linea 196","3","FFFFFF","000000"
"197","Start Romagna S.p.A.","197","Linea 197","3","FFFFFF","000000"
"198","Start Romagna S.p.A.","198","Linea 198","3","FFFFFF","000000"
"199","Start Romagna S.p.A.","199","Linea 199","3","FFFFFF","000000"
"2","Start Romagna S.p.A.","2","Linea 2","3","FFFFFF","000000"
"201","Start Romagna S.p.A.","201","Linea 201","3","FFFFFF","000000"
"222","Start Romagna S.p.A.","222","Linea 222","3","FFFFFF","000000"
"224","Start Romagna S.p.A.","224","Linea 224","3","FFFFFF","000000"
"227","Start Romagna S.p.A.","227","Linea 227","3","FFFFFF","000000"
"231","Start Romagna S.p.A.","231","Linea 231","3","FFFFFF","000000"
"251","Start Romagna S.p.A.","251","Linea 251","3","FFFFFF","000000"
"271","Start Romagna S.p.A.","271","Linea 271","3","FFFFFF","000000"
"273","Start Romagna S.p.A.","273","Linea 273","3","FFFFFF","000000"
"276","Start Romagna S.p.A.","276","Linea 276","3","FFFFFF","000000"
"278","Start Romagna S.p.A.","278","Linea 278","3","FFFFFF","000000"
"282","Start Romagna S.p.A.","282","Linea 282","3","FFFFFF","000000"
"283","Start Romagna S.p.A.","283","Linea 283","3","FFFFFF","000000"
"3","Start Romagna S.p.A.","3","Linea 3","3","FFFFFF","000000"
"30","Start Romagna S.p.A.","30","Linea 30","3","FFFFFF","000000"
"4","Start Romagna S.p.A.","4","Linea 4","3","FFFFFF","000000"
"5","Start Romagna S.p.A.","5","Linea 5","3","FFFFFF","000000"
"51","Start Romagna S.p.A.","51","Linea 51","3","FFFFFF","000000"
"52","Start Romagna S.p.A.","52","Linea 52","3","FFFFFF","000000"
"55","Start Romagna S.p.A.","55","Linea 55","3","FFFFFF","000000"
"56","Start Romagna S.p.A.","56","Linea 56","3","FFFFFF","000000"
"59","Start Romagna S.p.A.","59","Linea 59","3","FFFFFF","000000"
"70","Start Romagna S.p.A.","70","Linea 70","3","FFFFFF","000000"
"75","Start Romagna S.p.A.","75","Linea 75","3","FFFFFF","000000"
"8","Start Romagna S.p.A.","8","Linea 8","3","FFFFFF","000000"
"80","Start Romagna S.p.A.","80","Linea 80","3","FFFFFF","000000"
"90","Start Romagna S.p.A.","90","Linea 90","3","FFFFFF","000000"
