service_id,date,exception_type
"164_100206","20191120","1"
"164_100206","20191121","1"
"164_100206","20191122","1"
"164_100207","20191120","1"
"164_100207","20191121","1"
"164_100207","20191122","1"
"164_100209","20191120","1"
"164_100209","20191121","1"
"164_100211","20191122","1"
"164_100217","20191120","1"
"164_100217","20191121","1"
"164_100219","20191120","1"
"164_100219","20191121","1"
"164_100220","20191120","1"
"164_100220","20191121","1"
"164_100220","20191122","1"
"164_100221","20191120","1"
"164_100221","20191121","1"
"164_100221","20191122","1"
"164_100225","20191122","1"
"164_100226","20191122","1"
"164_100227","20191120","1"
"164_100227","20191121","1"
"164_100227","20191122","1"
"164_100228","20191120","1"
"164_100228","20191121","1"
"164_100228","20191122","1"
"164_100229","20191122","1"
"164_100230","20191120","1"
"164_100230","20191121","1"
"164_100230","20191122","1"
"164_100232","20191120","1"
"164_100232","20191121","1"
"164_100232","20191122","1"
"164_100241","20191120","1"
"164_100241","20191121","1"
"164_100241","20191122","1"
"164_100242","20191122","1"
"164_100243","20191122","1"
"164_100244","20191121","1"
"170_100209","20191123","1"
"170_100210","20191123","1"
"170_100211","20191123","1"
"170_100216","20191123","1"
"170_100222","20191123","1"
"170_100223","20191123","1"
"170_100224","20191123","1"
"170_100225","20191123","1"
"170_100227","20191123","1"
"170_100228","20191123","1"
"170_100229","20191123","1"
"170_100230","20191123","1"
"170_100231","20191123","1"
"170_100232","20191123","1"
"170_100241","20191123","1"
"170_100257","20191123","1"
"171_100139","20191228","1"
"171_100139","20200104","1"
"171_100139","20200411","1"
"171_100140","20191228","1"
"171_100140","20200104","1"
"171_100140","20200411","1"
"171_100146","20200412","1"
"171_100146","20200413","1"
"171_100146","20200419","1"
"171_100146","20200425","1"
"171_100146","20200426","1"
"171_100146","20200501","1"
"171_100146","20200503","1"
"171_100146","20200510","1"
"171_100146","20200517","1"
"171_100146","20200524","1"
"171_100146","20200531","1"
"171_100146","20200602","1"
"171_100165","20200119","1"
"171_100165","20200531","1"
"171_100166","20200118","1"
"171_100166","20200530","1"
"171_100167","20200118","1"
"171_100167","20200119","1"
"171_100167","20200120","1"
"171_100167","20200121","1"
"171_100167","20200122","1"
"171_100167","20200528","1"
"171_100167","20200529","1"
"171_100167","20200530","1"
"171_100167","20200531","1"
"171_100170","20200606","1"
"171_100171","20200606","1"
"171_100172","20200606","1"
"171_100206","20191125","1"
"171_100206","20191126","1"
"171_100206","20191127","1"
"171_100206","20191128","1"
"171_100206","20191129","1"
"171_100206","20191202","1"
"171_100206","20191203","1"
"171_100206","20191204","1"
"171_100206","20191205","1"
"171_100206","20191206","1"
"171_100206","20191209","1"
"171_100206","20191210","1"
"171_100206","20191211","1"
"171_100206","20191212","1"
"171_100206","20191213","1"
"171_100206","20191216","1"
"171_100206","20191217","1"
"171_100206","20191218","1"
"171_100206","20191219","1"
"171_100206","20191220","1"
"171_100206","20191223","1"
"171_100206","20191224","1"
"171_100206","20191227","1"
"171_100206","20191230","1"
"171_100206","20191231","1"
"171_100206","20200102","1"
"171_100206","20200103","1"
"171_100206","20200107","1"
"171_100206","20200108","1"
"171_100206","20200109","1"
"171_100206","20200110","1"
"171_100206","20200113","1"
"171_100206","20200114","1"
"171_100206","20200115","1"
"171_100206","20200116","1"
"171_100206","20200117","1"
"171_100206","20200120","1"
"171_100206","20200121","1"
"171_100206","20200122","1"
"171_100206","20200123","1"
"171_100206","20200124","1"
"171_100206","20200127","1"
"171_100206","20200128","1"
"171_100206","20200129","1"
"171_100206","20200130","1"
"171_100206","20200131","1"
"171_100206","20200203","1"
"171_100206","20200204","1"
"171_100206","20200205","1"
"171_100206","20200206","1"
"171_100206","20200207","1"
"171_100206","20200210","1"
"171_100206","20200211","1"
"171_100206","20200212","1"
"171_100206","20200213","1"
"171_100206","20200214","1"
"171_100206","20200217","1"
"171_100206","20200218","1"
"171_100206","20200219","1"
"171_100206","20200220","1"
"171_100206","20200221","1"
"171_100206","20200224","1"
