route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1","Start Romagna S.p.A.","1","Linea 1","3","FFFFFF","000000"
"10","Start Romagna S.p.A.","10","Linea 10","3","FFFFFF","000000"
"11","Start Romagna S.p.A.","11","Linea 11","3","FFFFFF","000000"
"124","Start Romagna S.p.A.","124","Linea 124","3","FFFFFF","000000"
"125","Start Romagna S.p.A.","125","Linea 125","3","FFFFFF","000000"
"134","Start Romagna S.p.A.","134","Linea 134","3","FFFFFF","000000"
"14","Start Romagna S.p.A.","14","Linea 14","3","FFFFFF","000000"
"15","Start Romagna S.p.A.","15","Linea 15","3","FFFFFF","000000"
"16","Start Romagna S.p.A.","16","Linea 16","3","FFFFFF","000000"
"160","Start Romagna S.p.A.","160","Linea 160","3","FFFFFF","000000"
"161","Start Romagna S.p.A.","161","Linea 161","3","FFFFFF","000000"
"162","Start Romagna S.p.A.","162","Linea 162","3","FFFFFF","000000"
"163","Start Romagna S.p.A.","163","Linea 163","3","FFFFFF","000000"
"164","Start Romagna S.p.A.","164","Linea 164","3","FFFFFF","000000"
"165","Start Romagna S.p.A.","165","Linea 165","3","FFFFFF","000000"
"166","Start Romagna S.p.A.","166","Linea 166","3","FFFFFF","000000"
"169","Start Romagna S.p.A.","169","Linea 169","3","FFFFFF","000000"
"17","Start Romagna S.p.A.","17","Linea 17","3","FFFFFF","000000"
"170","Start Romagna S.p.A.","170","Linea 170","3","FFFFFF","000000"
"171","Start Romagna S.p.A.","171","Linea 171","3","FFFFFF","000000"
"172","Start Romagna S.p.A.","172","Linea 172","3","FFFFFF","000000"
"173","Start Romagna S.p.A.","173","Linea 173","3","FFFFFF","000000"
"174","Start Romagna S.p.A.","174","Linea 174","3","FFFFFF","000000"
"175","Start Romagna S.p.A.","175","Linea 175","3","FFFFFF","000000"
"178","Start Romagna S.p.A.","178","Linea 178","3","FFFFFF","000000"
"18","Start Romagna S.p.A.","18","Linea 18","3","FFFFFF","000000"
"180","Start Romagna S.p.A.","180","Linea 180","3","FFFFFF","000000"
"181","Start Romagna S.p.A.","181","Linea 181","3","FFFFFF","000000"
"182","Start Romagna S.p.A.","182","Linea 182","3","FFFFFF","000000"
"19","Start Romagna S.p.A.","19","Linea 19","3","FFFFFF","000000"
"2","Start Romagna S.p.A.","2","Linea 2","3","FFFFFF","000000"
"20","Start Romagna S.p.A.","20","Linea 20","3","FFFFFF","000000"
"27","Start Romagna S.p.A.","27","Linea 27","3","FFFFFF","000000"
"28","Start Romagna S.p.A.","28","Linea 28","3","FFFFFF","000000"
"29","Start Romagna S.p.A.","29","Linea 29","3","FFFFFF","000000"
"3","Start Romagna S.p.A.","3","Linea 3","3","FFFFFF","000000"
"30","Start Romagna S.p.A.","30","Linea 30","3","FFFFFF","000000"
"4","Start Romagna S.p.A.","4","Linea 4","3","FFFFFF","000000"
"43","Start Romagna S.p.A.","43","Linea 43","3","FFFFFF","000000"
"5","Start Romagna S.p.A.","5","Linea 5","3","FFFFFF","000000"
"55","Start Romagna S.p.A.","55","Linea 55","3","FFFFFF","000000"
"58","Start Romagna S.p.A.","58","Linea 58","3","FFFFFF","000000"
"61","Start Romagna S.p.A.","61","Linea 61","3","FFFFFF","000000"
"7","Start Romagna S.p.A.","7","Linea 7","3","FFFFFF","000000"
"8","Start Romagna S.p.A.","8","Linea 8","3","FFFFFF","000000"
"9","Start Romagna S.p.A.","9","Linea 9","3","FFFFFF","000000"
"90","Start Romagna S.p.A.","90","Linea 90","3","FFFFFF","000000"
"91","Start Romagna S.p.A.","91","Linea 91","3","FFFFFF","000000"
"92","Start Romagna S.p.A.","92","Linea 92","3","FFFFFF","000000"
"MetroMare","Start Romagna S.p.A.","MetroMare","MetroMare","3","FFFFFF","000000"
"94","Start Romagna S.p.A.","94","Linea 94","3","FFFFFF","000000"
"95","Start Romagna S.p.A.","95","Linea 95","3","FFFFFF","000000"
