stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"A00002","Arco D'Augusto","44.0562952770599","12.570797278481","0",""
"A00003","Arco D'Augusto","44.0569003969441","12.5717338181312","0",""
"A00005","3 Dante","44.0621225963701","12.5726002403552","0",""
"A00006","4 Rimini Fs","44.0646058311108","12.5721814792204","0",""
"A00007","4 Rimini Fs","44.0644213423973","12.5725660979334","0",""
"A00008","4 Rimini Fs","44.0642426571798","12.572957392242","0",""
"A00011","5 C. Battisti","44.0649119903903","12.5707912172097","0",""
"A00012","4 Rimini Fs","44.0637711306517","12.5731610601349","0",""
"A00015","Gramsci S.Rita","44.0593047895699","12.573242916922","0",""
"A00017","Duomo","44.0603711574629","12.5702559842792","0",""
"A00018","Serpieri","44.0584705420208","12.5698676283759","0",""
"A00019","Arco D'Augusto","44.0573673451548","12.5706344766928","0",""
"A00021","Bramante","44.0546057882063","12.5677703930406","0",""
"A00022","Rosaspina","44.0529087175584","12.5656584037679","0",""
"A00023","Acquario-Lince","44.051235978537","12.5648999543491","0",""
"A00024","Acquario-Ariete","44.0500504693685","12.5633476268295","0",""
"A00025","Ariete-Cigno","44.0499691743537","12.5622805565709","0",""
"A00026","Ariete-Castore","44.0514507083832","12.5601974788903","0",""
"A00027","Covignano-Vega","44.0514013915283","12.5583114268947","0",""
"A00028","Covignano-Pioppo","44.0500822024466","12.5568271401843","0",""
"A00029","Covign.-Massera","44.0485923793695","12.5551533402239","0",""
"A00030","Crocifissochiesa","44.048409715481","12.5532699200275","0",""
"A00031","Crocifisso","44.0500956522764","12.5517803816936","0",""
"A00032","Di Mezzo-Sbrozzi","44.0512083258408","12.5513974752353","0",""
"A00033","Di Mezzo-Bonin.","44.0520815013","12.5530716898258","0",""
"A00034","Marzabotto","44.0536693250241","12.5538551590295","0",""
"A00035","Anagrafe","44.0548392193277","12.5525710688074","0",""
"A00036","Marzab.-Varsavia","44.0561831302627","12.5516355501844","0",""
"A00037","Vill. Azzurro","44.05710756054","12.5498661852374","0",""
"A00038","Magellano 1","44.0573241492743","12.5479586666332","0",""
"A00039","Magellano 2","44.058667643775","12.5478438871084","0",""
"A00040","Volontario","44.0600389742672","12.5467197898267","0",""
"A00041","Luigi Nicolo","44.0614046016746","12.5470067093543","0",""
"A00042","L.Go Bordoni","44.0615099597572","12.5489363269598","0",""
"A00043","Ina Casa","44.0607224685313","12.550249808123","0",""
"A00044","Provincia","44.0599609417736","12.552313153577","0",""
"A00045","Pozzo Romano","44.0588217537713","12.5552409609508","0",""
"A00046","Campana-Abruzzi","44.058238891354","12.5582955937137","0",""
"A00047","Campana-Cecchi","44.0586641118016","12.5602881436351","0",""
"A00048","Campana-Valturio","44.0588699436165","12.5625487867665","0",""
"A00049","Circ.Occidentale","44.0612248953009","12.5634228411367","0",""
"A00050","Ducale","44.0632454987242","12.5648725318675","0",""
"A00051","Cavalieri","44.0634861855886","12.5666606014877","0",""
"A00052","P.Zza Ferrari","44.0622249707077","12.5683456275661","0",""
"A00053","Gambalunga-Tosi","44.0635905933308","12.5701261059908","0",""
"A00058","Covignano-Venere","44.052932049359","12.5600024300571","0",""
"A00059","Covignano-T.Ausa","44.0471004404833","12.5535920501448","0",""
"A00060","Covign.-Bascucci","44.0455744587988","12.5519136614168","0",""
"A00061","Bv. Grazie","44.0437228849931","12.5466949843885","0",""
"A00062","Casetti","44.0422154078403","12.5355487747848","0",""
"A00063","S.Lorenzo Monte","44.0428594976639","12.5301488354791","0",""
"A00064","Bv. S.Lorenzo","44.0418837693293","12.5243794228983","0",""
"A00065","Bv. Quartirolo","44.0412191260327","12.5213399090151","0",""
"A00066","S. Cristina,58","44.039777671141","12.5186012428816","0",""
"A00067","Mirandola-Carpi","44.0385800078749","12.5173470502402","0",""
"A00068","Sgrigna","44.0358482836114","12.5148965610134","0",""
"A00069","Ca Martignoni","44.0307023487142","12.5132118280612","0",""
"A00070","Palazzo Toni","44.0291388762835","12.5122178980743","0",""
"A00071","Ca Dell'Ospedale","44.0257965071362","12.5118043053154","0",""
"A00072","Tomasetta","44.0241465892809","12.5092187906121","0",""
"A00073","Ca Torsani","44.0233377782761","12.5063985072633","0",""
"A00074","Morosini 1","44.0214472425637","12.5006386352775","0",""
"A00075","Morosini 2","44.0202673788371","12.4991785637248","0",""
"A00076","S. Martino In Xx","44.0177716753207","12.4966292419234","0",""
"A00077","Ca Massari","44.0160013516892","12.4939060925686","0",""
"A00078","M.Cieco Piana","44.0125955426621","12.4905067140474","0",""
"A00079","M.Cieco Culmine","44.0104609911133","12.4888316291434","0",""
"A00080","M.Cieco Ville","44.0090186984354","12.4873176485412","0",""
"A00081","M.Cieco Scuola","44.0066366491932","12.4854442995835","0",""
"A00082","Montecieco Bv.","44.0054676182823","12.4846891744737","0",""
"A00083","Monteciecoscuola","44.005261450894","12.4867747186804","0",""
"A00084","Gragnano","44.0028827279293","12.490782352566","0",""
"A00085","Monte Galda","44.0005668540067","12.4933526832696","0",""
"A00086","Pizzolo","43.9979186171549","12.4965759808618","0",""
"A00087","Laghetto","43.9945537227557","12.4942170573595","0",""
"A00088","Montale Inf.","43.9915698494353","12.4928119224702","0",""
"A00089","Tramontana","43.9895860707952","12.4947223606825","0",""
"A00090","Mt. Cieco-Ss72","43.9872574185702","12.4958927572498","0",""
"A00091","Dogana Superstr.","43.9853440483155","12.4938316462916","0",""
"A00092","Dogana Confine","43.9837064185722","12.4910046789181","0",""
"A00093","Il Palazzo","43.9860729368838","12.487669127892","0",""
"A00094","Via Consorziale","43.9843419355165","12.4834715294554","0",""
"A00095","Mad.Della Neve","43.9836354572914","12.4804215748404","0",""
"A00096","Marignano,31","43.9821566217363","12.4766469512497","0",""
"A00097","Ca Paoli","43.9797799343086","12.4719723980218","0",""
"A00098","Ca Morri","43.9790908680363","12.4701283455443","0",""
"A00099","Ca Cerbaiola","43.978120203441","12.4675638288399","0",""
"A00100","S.Crist.Marignan","43.979267879108","12.4620789805453","0",""
"A00101","Ca Cangelini","43.9808275497744","12.4612011058598","0",""
"A00102","Ca Santolini","43.9833018271193","12.4602724909574","0",""
"A00103","S.Cristinachiesa","43.9883274081558","12.4621853042788","0",""
"A00104","Santa Cristina","43.9893593724422","12.4628427480314","0",""
"A00105","S.Crist.-Cerlano","43.9922532540306","12.4662610644333","0",""
"A00106","S.Crist.Cimitero","43.9952748806854","12.4708671404999","0",""
"A00107","Montale Sup.","43.9970238334406","12.4732455401171","0",""
"A00108","Bv. San Paolo","43.9999848242369","12.4753110358113","0",""
"A00115","Ca Tentoni","44.0010825447697","12.4781331445015","0",""
"A00116","S.Paolo Tornante","44.0025354702537","12.4801233448774","0",""
"A00117","Montecieco Sup.","44.0037743023672","12.4815925943543","0",""
"A00118","Montecieco Bv.","44.0053310561936","12.4838030968306","0",""
"A00119","M.Cieco Scuola","44.0072767389097","12.4860970674049","0",""
"A00120","M.Cieco Ville","44.0093871532791","12.4879008504062","0",""
"A00121","M.Cieco Culmine","44.0109330840791","12.4894198355589","0",""
"A00122","M.Cieco Piana","44.012687429418","12.4907959993754","0",""
"A00123","Ca Massari","44.0165579434264","12.4948588685246","0",""
"A00124","S. Martino In Xx","44.0181298715244","12.497362730683","0",""
"A00125","Morosini 2","44.0204751602143","12.4996221025324","0",""
"A00126","Morosini 1","44.0219785694195","12.501673721439","0",""
"A00127","Ca Torsani","44.023438048987","12.5074860620177","0",""
"A00128","Tomasetta","44.0243745414435","12.5101762432956","0",""
"A00129","Ca Dell'Ospedale","44.0262080872689","12.512719797325","0",""
"A00130","Palazzo Toni","44.0289026559055","12.5124562937847","0",""
"A00131","Ca Martignoni","44.031085373831","12.5140568447563","0",""
"A00132","Sgrigna","44.0364801925105","12.5153880557854","0",""
"A00133","Mirandola-Carpi","44.0389344874806","12.5179157042074","0",""
"A00134","S. Cristina,56","44.0400823065125","12.5193623282737","0",""
"A00135","Bv. Quartirolo","44.041427470326","12.5220207953795","0",""
"A00136","Bv. S.Lorenzo","44.0413912609865","12.5253329017825","0",""
"A00137","S.Lorenzo Monte","44.0425972090737","12.5292610856197","0",""
"A00138","Casetti","44.0423238393752","12.5359842408954","0",""
"A00139","Bv. Grazie","44.0437542831317","12.5475123542186","0",""
"A00140","Covign.-Bascucci","44.0456351801468","12.5522263282671","0",""
"A00141","Covignano-T.Ausa","44.0472350554993","12.5539921805144","0",""
"A00142","Covign.-Massera","44.0486647572478","12.555590372304","0",""
"A00143","Covignano-Pioppo","44.0501292180843","12.5571310371578","0",""
"A00144","Covignano-Vega","44.0516469993501","12.5588505914582","0",""
"A00145","Covignano-Venere","44.0530704078007","12.5603681303696","0",""
"A00147","Saffi-Mazzini","44.0554508912237","12.563055462702","0",""
"A00149","Autostazione","44.0620233222388","12.574283585182","0",""
"A00150","Anfiteatro","44.0608246700797","12.5754967942268","0",""
"A00151","Tripoli,167","44.0589543363499","12.5792124668642","0",""
"A00152","Tripoli Officine","44.0601000205494","12.5808075361366","0",""
"A00153","Tripoli,199","44.0619556765753","12.58340692374","0",""
"A00154","14 Tripoli","44.0630819285907","12.5860017928788","0",""
"A00155","15 Alfieri","44.060971497486","12.5881694994882","0",""
"A00157","Praga-Verga","44.0565640917214","12.5868722406288","0",""
"A00158","Praga-Lipparini","44.0546872068229","12.5888023566086","0",""
"A00159","Lagomaggio","44.0534507843721","12.5897264050399","0",""
"A00160","Rovetta","44.0515513172919","12.591441905666","0",""
"A00163","Chiabrera Park","44.0487739976114","12.5961481222598","0",""
"A00164","Chiabrera","44.0478259966543","12.5943110010017","0",""
"A00165","Settembrini Rot.","44.0466492839028","12.5916625040645","0",""
"A00167","Settembrini,19","44.049408892142","12.5877246594313","0",""
"A00168","Centro Studi","44.0501478477389","12.582330122139","0",""
"A00169","Fada","44.0491789124827","12.5810027033681","0",""
"A00170","Flaminio","44.0474474218175","12.5789543357181","0",""
"A00171","Deposito Tram","44.0464735653805","12.5775676344186","0",""
"A00172","Repubbl-Moretti","44.0443622613554","12.5744243938473","0",""
"A00173","Repubblica Peep","44.0431504821106","12.5726890215416","0",""
"A00174","Euterpe Parco","44.0443995490195","12.5672895860158","0",""
"A00175","Euterpe C.Ausa","44.046228625723","12.5646121744786","0",""
"A00176","Panzini-Fiera","44.0476342806512","12.5625573685999","0",""
"A00177","Panzini-Acquario","44.0488837106986","12.5607772563993","0",""
"A00178","Panzini-Albero","44.0502367279249","12.558744436674","0",""
"A00179","Jano Planco","44.0516960616802","12.5565142127779","0",""
"A00180","Marecchiesecagni","44.0569563978871","12.5525549747516","0",""
"A00182","Marecchiese-Duca","44.0567804119534","12.5574320039103","0",""
"A00187","Marecchiese-Duca","44.0568996285047","12.5578760503699","0",""
"A00188","Marecchiese-Orsi","44.0570639017831","12.5535344212361","0",""
"A00190","Marzab.-Varsavia","44.0558607945564","12.5515083933194","0",""
"A00191","Anagrafe","44.0542853972377","12.5527749063217","0",""
"A00192","Marzabotto","44.0532434584287","12.5539382376696","0",""
"A00193","Jano Planco-A.Moro","44.0526359263182","12.5547871640878","0",""
"A00194","Jano Planco","44.0514916020675","12.5564258794696","0",""
"A00195","Panzini-Albero","44.0499336847","12.5588144708231","0",""
"A00196","Panzini-Acquario","44.0486786546046","12.5606608508216","0",""
"A00197","Panzini-Fiera","44.0475473736155","12.5622819540408","0",""
"A00198","Euterpe C.Ausa","44.045849719664","12.5647868530217","0",""
"A00199","Euterpe Parco","44.0440153436348","12.5674270137243","0",""
"A00200","Repubblica Peep","44.043373143868","12.5734225724523","0",""
"A00202","Deposito Tram","44.0460029543492","12.5772813214438","0",""
"A00203","Flaminio","44.0472518383747","12.5790715267606","0",""
"A00204","Fada","44.048894760572","12.5811890317587","0",""
"A00205","Centro Studi","44.0500608649838","12.5824740949563","0",""
"A00206","Rimini Cs (Pens.D)","44.0499475560901","12.5826503458908","0",""
"A00207","Lagomag-Deledda","44.0505804958576","12.5846936433233","0",""
"A00209","Chiabrera","44.0477938587415","12.5947086190306","0",""
"A00210","Chiabrera Park","44.0492460263889","12.5963318644794","0",""
"A00211","Aleardi","44.0509153262457","12.5937302508985","0",""
"A00212","Rovetta","44.0512249587777","12.5920824169346","0",""
"A00214","19 Lagomaggio","44.054348831369","12.595170343163","0",""
"A00215","18 Scilla","44.0558120484232","12.5936847846741","0",""
"A00216","17 Goldoni","44.0572400516334","12.5922380323348","0",""
"A00217","16 Pascoli","44.0594296831014","12.5899800041548","0",""
"A00218","15 Alfieri","44.0613065838413","12.5880497638274","0",""
"A00219","14 Tripoli","44.0634227503314","12.585088965189","0",""
"A00220","Tripoli,226","44.0618202370564","12.5829629632736","0",""
"A00221","Tripoli Officine","44.0599309730985","12.5802650851517","0",""
"A00222","Tripoli,180","44.0591292286911","12.5792234399068","0",""
"A00223","Roma-Tripoli","44.0587889865852","12.5777834649045","0",""
"A00224","Anfiteatro","44.0613480375614","12.575135852226","0",""
"A00226","Giovanni Xxiii","44.0648075039889","12.569731062372","0",""
"A00227","Dei Mille","44.0647031768741","12.5686365683718","0",""
"A00229","Fiera","44.0708218598574","12.5255358404651","0",""
"A00230","Abete","44.0484539095211","12.5589911784969","0",""
"A00231","Treves","44.0682909072693","12.5614596022353","0",""
"A00232","Borgatti","44.0672524709069","12.5632129101022","0",""
"A00233","Zavagli-Sempione","44.0694431224663","12.559976267701","0",""
"A00234","Zav.-Monferrato","44.0715415279148","12.5612729840937","0",""
"A00235","Zavagli-Tonini","44.0730148586847","12.5623894125661","0",""
"A00236","Zavagli-Balena","44.0742317351523","12.5633016304128","0",""
"A00237","Ortigara","44.0746105857461","12.565445883432","0",""
"A00238","Ortigara,37","44.0743316715324","12.5679892647811","0",""
"A00239","Rimini Darsena","44.0743157573716","12.5696520679552","0",""
"A00240","Lando-Tartaglia","44.0728157591071","12.5693095150044","0",""
"A00241","Lando-Brandolino","44.0716564992821","12.568564038398","0",""
"A00242","Lando-Colleoni","44.0701130580198","12.5675346415566","0",""
"A00243","6 P. Resistenza","44.0683044553171","12.5685121690588","0",""
"A00244","Circ.Oc-Bertuzzi","44.0583446225207","12.5638781139847","0",""
"A00245","Campana-Valturio","44.0590434935543","12.5620329085372","0",""
"A00246","Campana-Cecchi","44.0588357198249","12.5601031856218","0",""
"A00247","Campana-Abruzzi","44.058434413859","12.5579660745612","0",""
"A00248","Pozzo Romano","44.0590631537727","12.5551623559238","0",""
"A00249","Provincia","44.0602403439632","12.5521174819135","0",""
"A00250","Ina Casa","44.0609121017292","12.5502763183621","0",""
"A00251","L.Go Bordoni","44.0619156068479","12.5490019845403","0",""
"A00252","Luigi Nicolo","44.0615649053134","12.5469251748109","0",""
"A00253","Antonelli 1","44.0592576726178","12.5461827626666","0",""
"A00254","Antonelli 2","44.0570972629215","12.546407490892","0",""
"A00255","Vill. Azzurro","44.0569670255654","12.5496874150783","0",""
"A00256","Flavia Casadei","44.0540476571974","12.5500850996231","0",""
"A00257","Flavia Casadei","44.0542432598991","12.5501800217004","0",""
"A00258","Aldo Moro 1","44.052466775929","12.5527749410303","0",""
"A00259","Aldo Moro 2","44.0513993814078","12.5504408790857","0",""
"A00260","Di Mezzo,84","44.0509467164394","12.5507435370335","0",""
"A00263","Ariete-Castore","44.0513172134693","12.5600594063176","0",""
"A00264","Ariete-Cigno","44.0498100276017","12.5622059495283","0",""
"A00265","Acquario-Ariete","44.0496788046491","12.563228683002","0",""
"A00266","Acquario-Lince","44.0511053720767","12.5651081592109","0",""
"A00267","Rosaspina","44.0528240165216","12.5659084237483","0",""
"A00270","6 Rodi","44.0662117507969","12.5705663458016","0",""
"A00271","7 Grattacielo","44.0673542073002","12.5726391781821","0",""
"A00272","Sauro-Mantegazza","44.0680186272779","12.574884581973","0",""
"A00273","Sauro-Vit.Veneto","44.0668265331596","12.576831215802","0",""
"A00274","Trieste","44.0674085912164","12.5790175732569","0",""
"A00275","12 Kennedy","44.0674950125926","12.580971316011","0",""
"A00276","Sauro Parcocervi","44.0647478927821","12.5800656455066","0",""
"A00277","Sauro-Pola","44.0653813444924","12.5789441689042","0",""
"A00278","Trento","44.0665579350441","12.5771137577541","0",""
"A00279","P.Le Carso","44.0653672635371","12.574674495453","0",""
"A00280","6 Rodi","44.0663614860128","12.5706220253474","0",""
"A00281","Bagli","44.0688718032604","12.5427804075378","0",""
"A00282","Celle Cimitero","44.0693544614589","12.5459664475374","0",""
"A00283","Celle Portici","44.0686838398319","12.5503739154373","0",""
"A00284","Celle Vincini","44.0680931683749","12.5530579514617","0",""
"A00285","San Bernardo","44.0671089613041","12.5571285272088","0",""
"A00286","P.Le Vannoni","44.0665050702268","12.560465378992","0",""
"A00287","Matteotti,28","44.0661337557175","12.5647915194463","0",""
"A00288","Dei Mille,20","44.0644458347859","12.5688125457108","0",""
"A00290","Circonv. Merid.","44.0527694351441","12.5728608214125","0",""
"A00291","Flaminia-Pagnoc","44.0508671462271","12.5754913394275","0",""
"A00292","Pascoli-Baccelli","44.0508581071202","12.5778229179845","0",""
"A00293","Pascoli-Ruzzante","44.0524846490192","12.5800160804574","0",""
"A00294","Giuliani-Milli","44.0532718433649","12.5829644558512","0",""
"A00295","Settembrini Rot.","44.0457664548763","12.590783987688","0",""
"A00296","Guerzoni,8","44.0429835358454","12.5911651863227","0",""
"A00297","Rimembranze 2","44.0435749211827","12.5931663364756","0",""
"A00298","Rimembranze 1","44.0448171930221","12.5955093924937","0",""
"A00299","Pagano","44.0448917041665","12.5984083956067","0",""
"A00300","Tommaseo 5","44.0433324742953","12.5983278858494","0",""
"A00301","Tommaseo 4","44.0418557566164","12.5998166697898","0",""
"A00310","Londra-Amsterdam","44.0313160198153","12.6154260746794","0",""
"A00311","Londra-Oliveti","44.0303845477961","12.6165210169818","0",""
"A00312","Lucerna","44.0294550152038","12.6177094358081","0",""
"A00313","Mosca-Locarno","44.0274275421517","12.6199993160413","0",""
"A00314","Mosca-Migani","44.0260818440782","12.6217408193076","0",""
"A00315","Mosca-Tirana","44.0244757584947","12.6241664366975","0",""
